site_code,site_name,site_type_name,latitude,longitude,rkm,rkm_total,min_start_date,max_end_date,site_description
0HR,Henrys Instream Array,Instream Remote Detection System,44.89691,-113.62475,522.303.416.047,1288,2022-07-26,NA,This site is 3.2 km below the confluence of Hayden Creek and the Lemhi River on private land near Lemhi Idaho. This is a single pass array consisting of three 20ft HDPE Biomark antennas. This is powered by a four panel solar system with four 115 ah batteries. This site is utilized as a checkpoint and one of the first arrays that juvenile fish tagged by IDFG at two rotary screw traps in Hayden Creek and the upper Lemhi trap encounter. 
HYC,Hayden Creek In-stream Array,Instream Remote Detection System,44.861654,-113.631937,522.303.416.049.001,1291,2009-08-01,2018-09-26,"This is an instream interrogation system located on the lower section of Hayden Creek, in the Lemhi River Basin.  The system consists of two arrays, located serially 15 meters apart with the upstream array having two 10 foot and one 5 foot PVC Pipe antennas, and the lower array not changing from original installation and having one 20 foot and one 10 foot flat-plate antennas. At low flow, both arrays cover all of the stream channel. Water depth, water temperature, and air temperature probes are installed."
LRW,Lemhi River Weir,Instream Remote Detection System,44.86596,-113.624721,522.303.416.050,1291,2009-08-01,2011-09-14,"This is an in-stream interrogation system located on the Lemhi River above the mouth of Hayden Creek and below the IDFG weir. The site consists of two arrays, located serially 15 meters apart with the upstream array having four 10 foot PVC Pipe antennas and the lower array having the two original 20 foot flat-plate Biomark antennas. At low flow, the upper arrays covers the stream channel, the lower array covers all but 1 meter of the stream channel. Water depth, water temperature, and air temperature probes are installed."
LLS,Lemhi Little Springs Instream,Instream Remote Detection System,44.780552,-113.545027,522.303.416.066.000,1307,2011-06-14,2018-09-26,"In-stream detection system consisting of a tandem array located in Little Springs. The array (LLS) is located 100-meters upstream of the confluence with the Lemhi River. The site consists of two 5ft x 3ft HDPE pipe antennas connected to standalone Biomark IS1001 readers. The site is powered by grid AC with a battery switcher and remote communication is provided by a 4G cellular modem. The site was originally installed in 2011, it was overhauled in 2018."
LB8,Big Eightmile Creek,Instream Remote Detection System,44.738218,-113.462458,522.303.416.073.001,1315,2015-07-06,2018-03-21,"This in-stream detection system on Big Eightmile Creek is located approximately 0.5 km upstream of the confluence with the Lemhi River and is comprised of two arrays.  The upstream and downstream arrays each consist of one 10 ft antenna. The site is located 50 meters upstream of the bridge on Idaho state highway 28. LB8 is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. This site is powered by a battery bank, which is charged by solar panels.  Remote communication is provided by a cellular telephone modem. Site was removed in March 2018"
LBS,Big Springs Creek,Instream Remote Detection System,44.727349,-113.433214,522.303.416.077.001,1319,2014-04-01,2020-11-06,An in-stream detection system consisting of two antennas located on Big Springs Creek approximately 300 meters upstream from the confluence with the Lemhi River. The initial configuration of consisting of three arrays of two antennas each was replaced in May 2017 with two 20 ft antennas deployed about 37 meters apart.
LCL,"Lee Creek, Lemhi R. Basin",Instream Remote Detection System,44.747074,-113.474641,522.303.416.079.001,1321,2013-12-21,2018-04-11,"In-stream detection system currently consisting of two antennas located in Lee Creek approximately 50 meters upstream of the confluence with the Lemhi River. The Lee Creek array site is located 140 m below the culvert on Highway 28. LCL is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in December 2013. This site is powered by a 24 volt solar powered system and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors. The initial site configuration consisting of three antennas deployed about 10 meters apart was replaced in October 2016 with two 10 ft antennas deployed about 20 meters apart. Site was removed in April 2018"
BTC,Big Timber Creek,Instream Remote Detection System,44.68811,-113.37041,522.303.416.089.001,1331,2010-01-20,2013-10-15,This is an instream interrogation system consisting of two 10-foot pass-by antennas arrayed in tandem at km 1.3 on Big Timber Creek. Site was decommissioned October 2013. New site with code BTL was installed 1km downstream and replaces this site.
BTL,"Lower Big Timber, Lemhi Basin",Instream Remote Detection System,44.697568,-113.374118,522.303.416.089.001,1331,2013-10-16,2019-11-10,"In-stream detection system currently consisting of two antennas located in Big Timber Creek approximately 300 meters upstream of the confluence with the Lemhi River.  The Big Timber array site is located 1.32 k below the culvert on Highway 28. BTL is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. This site is powered by a 24 volt solar powered system and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors. The initial site configuration consisting of three arrays of two antennas each was replaced in October 2016 with a 20 ft and a 10ft antenna deployed about 30 meters apart."
BTM,Big Timber Creek - Middle,Instream Remote Detection System,44.660444,-113.377624,522.303.416.089.005,1335,2015-03-19,2018-05-18,"This in-stream detection system on Big Timber Creek is located approximately 5.3 km upstream of the confluence with the Lemhi River and is comprised of three arrays.  The upstream array consists of one 10 ft antenna, the middle array consists of two 10 ft antennas, and the downstream array consists of a single 10 ft antenna. BTM is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. This site was installed in May 2015 and is powered by a battery bank, which is charged by solar panels.  Remote communication is provided by a cellular telephone modem. Site removed May 2018."
BTU,Big Timber Creek - Upper,Instream Remote Detection System,44.61386,-113.397036,522.303.416.089.011,1341,2015-08-18,2018-08-01,"This in-stream detection system on Big Timber Creek is located approximately 10.8 km upstream of the confluence with the Lemhi River and is comprised of two arrays.  Each array consists of two 10 ft antennas to span the width of the channel. BTM is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. This site is powered by a propane thermoelectric generator.  Remote communication is provided by a cellular telephone modem. Site was decomissioned in August 2018."
CAC,Canyon Creek ISA @ km 1,Instream Remote Detection System,44.69109,-113.365281,522.303.416.090.001,1332,2010-11-01,2017-11-17,"In-stream detection system consisting of a tandem array located in Canyon Creek. The array (CAC) located 100-meters upstream of the confluence with the Lemhi River. The site consists of two 5ft x 3ft HDPE pipe antennas connected to standalone Biomark IS1001 readers. The site is powered by solar and remote communication is provided by a 4G cellular modem. The site was originally installed in 2010 about 900 meters upstream of its current location, to which it was relocated in 2018."
18M,Eighteenmile Creek,Instream Remote Detection System,44.682795,-113.35366,522.303.416.092.001,1334,2014-05-01,2019-05-15,"An in-stream detection system on Eighteenmile Creek located approximately 300 meters upstream from the confluence with Texas Creek to form the Lemhi River.  This detection system is comprised of two arrays installed serially with one 10 ft. ABS antenna at each array location.  18M is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed in the summer of 2014.  The site is powered by batteries banks that are charged by solar panels next to the control box and communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors."
HEC,Hawley Cr/18 Mile Cr Array,Instream Remote Detection System,44.668594,-113.31155,522.303.416.092.004.001,1338,2013-10-12,2015-12-12,"In-stream detection system consisting of one controller/datalogger and two triple arrays,one in Eighteen Mile Creek and one in Hawley Cr. The Hawley Creek array is located 5.75 km upstream of the confluence with Texas Creek and is comprised of 3 arrays deployed serially at about 10 m apart, of one 10 ft PVC pipe pass-by antenna each. The Eighteen Mile Creek array is located 100 m upstream of the confluence with Hawley Creek and is comprised of 3 arrays deployed serially at about 10 m apart, of one 5 ft PVC pipe pass-by antenna each.  HEC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in October 2013. This site is powered by a 24 volt solar powered system and remote communication is provided by a cellular telephone modem.  Environmental conditions are monitored by air temperature, water temperature, and water depth sensors.. Site was decommissioned March 2017, last data recieved December 2015."
USE,Upper Salmon River at rkm 437,Instream Remote Detection System,45.02853,-113.916319,522.303.437,1262,2012-09-12,NA,"In-stream detection system consisting of a single array located in the Salmon River. The array (USE) is located at river km 522.303.437 (N45.028939 W-113.915892) and consists of six 20 foot Biomark flat panel antennas. The array does not span the entire river at base flow. USE is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in September, 2012. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a battery switcher with power supplied from a thermal electric generator. Remote communication is provided by a cellular phone modem. Data collection started on September 14, 2012."
USI,Upper Salmon River at rkm 460,Instream Remote Detection System,44.889763,-113.964145,522.303.460,1285,2012-08-30,NA,"In-stream detection system consisting of a single array located in the main-stem Salmon River. The array (USI) is located at river km 522.303.460 (N44.890380 W-113.962575) and consists of six 20 foot Biomark flat panel antennas. The array does not span the entire river at base flows. USI is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Idaho Fish and Game and Quantitative Consultants, Inc. and was installed for continuous monitoring in August, 2012. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a battery switcher with power supplied from the electrical power grid. Remote communication is provided by a cellular phone modem. Data collection began in November 2012."
YFK,Yankee Fork Salmon River,Instream Remote Detection System,44.287737,-114.720453,522.303.591.003,1419,2012-03-29,NA,"Theis is a permanent instream PIT tag detection site consisting of four Biomark 20ft stout pass-by antennas connected to an enclosure pole. The antennas are arranged in two arrays about 10 meters apart. The equipment is linked to direct power and communications are provided by direct phone line. Water depth, water temperature, and air temperature probes are also installed. The site is located 3.14 river kilometers upstream from the confluence with the Salmon River at an elevation of 1855m. The site is characterized as a B-type channel with 2-4 percent grade, a B-type streambed, and a 2-3 (boulder:cobble) stream type. Primary vegetation at the site includes alders, willows, and conifers."
CEY,Cearley Creek Side Channel,Instream Remote Detection System,44.339059,-114.72164,522.303.591.009,1425,2016-01-01,2018-11-20,"Cearley Creek is a small tributary of the Yankee Fork of the Salmon River, Idaho and flows into a newly constructed side channel  and then into the Yankee Fork main stem. One 10ft x 5ft passthrough antenna and one 9ft x 5ft passthrough antenna are installed at the head of the side channel and two 10ft x 5ft passthrough antennas are installed at the mouth of the side channel. The upstream array of antennas are approximately 0.8 km (0.5 miles) away from the downstream array. Site was removed November 2018."
VC2,"Valley Creek, Downstream Site",Instream Remote Detection System,44.2219,-114.93146,522.303.609.001,1435,2007-09-06,2013-01-10,"This is an in-stream interrogation system located on Valley Creek below Stanley, ID., in the Upper Salmon River."
VC1,"Valley Creek, Upstream Site",Instream Remote Detection System,44.218672,-114.94215,522.303.609.002,1436,2002-07-10,2021-08-09,"This is an in-stream interrogation system located on Valley Creek at Stanley, ID., in the Upper Salmon River. Site lost power February 2021 and was removed August 2021."
RFL,Redfish Lake Creek,Instream Remote Detection System,44.164727,-114.905043,522.303.615.001,1441,2018-04-01,NA,"The site is located on Redfish Lake Creek approximately one half mile upstream from the confluence with the Salmon River. The electronics enclosure and battery box are located on the river right bank on the back side of a storage shed used by the camp host at Chinook Bay Campground.The site consists of four 20ft HDPE antennas, located in a single string across the river.  The antennas are constructed of fusion welded 4 inch HDPE pipe. Each antenna is driven by a Biomark IS1001 reader located in a submersible canister attached to the antenna. The readers are controlled by a Biomark IS1001-MC located in an enclosure on the shore.   The antennas are anchored to the streambed with a through-strut method using DB-88 earth anchors attached to stainless steel threaded rod. The anchors are driven to a depth of 20-30 inches into the river bed. The IS1001 readers are connected to the IS1001-MC via Biomark CAN Bus cable. All cables are covered by flexible non-metallic conduit.  Power for the system is supplied by six 12V 115Ah batteries, these batteries are run in series-parallel to create 24V to power the IS1001-MC and provide approximately 7 days of runtime.The required permits are still pending to install the complete enclosure and connect the system to AC power via an Isolation Transformer and disconnect switch. Until that time the system will be run off the above described battery system."
COC,Cow Creek ISA @ stream mouth,Instream Remote Detection System,45.76774,-116.744037,522.308.006.001,837,2011-01-01,NA,"In-stream detection system consisting of a tandem array located in Cow Creek.  The array (COC) located at 0.5 km upstream of the confluence with the Imnaha River (N 45.76774, W 116.744037) consists of two arrays , deployed serially 10 m apart, of one 20 ft Biomark flat panel antenna each.  COC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on January 12, 2011."
IR1,Lower Imnaha River ISA @ km 7,Instream Remote Detection System,45.761052,-116.750231,522.308.007,837,2010-12-01,NA,"In-stream detection system consisting of a single array located in the lower Imnaha River. The array (IR1) located at river km 7 (N 45.761162, W -116.750658) consists of four 20 foot Biomark flat panel antennas that span the entire river at base flow. IR1 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on December 3, 2010. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a solar/propane hybrid thermal electric generator and remote communication provided by a satellite modem."
IR2,Lower Imnaha River ISA @ km 10,Instream Remote Detection System,45.742702,-116.764304,522.308.010,840,2010-11-01,NA,"In-stream detection system consisting of a single array located in the lower Imnaha River. The array (IR2) located at river km 10 (N 45.742839 W -116.764563) consists of one 10 foot and four 20 foot Biomark flat panel antennas that span the entire river at base flow. IR2 is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring in November 2010. The array includes ISEMP standard site monitoring equipment including: air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a solar/propane hybrid thermal electric generator and remote communication provided by a satellite modem."
CMP,Camp Creek at rkm 2 - Imnaha,Instream Remote Detection System,45.554828,-116.872927,522.308.032.002.002,866,2013-02-15,NA,"In-stream detection system consisting of a tandem array located in Camp Creek.  The array (CMP) is located at river km 522.308.032.002.002 and consists of four 10 foot Biomark PVC Lite tandem antennas.  The array spans the entire river at base flow.  CMP is operated by the Imnaha River Steelhead Status and Smolt Monitoring (IRSSSM) project and was installed for continuous monitoring on February 21, 2013.  Electrical power is provided by four 115Ah batteries, three 305 watt solar panels and controlled by an OutBack Power flex max 60 MPPT solar charge controller. In April 2021, the site was moved about half a kilometer upstream."
LSC,Little Sheep Cr Seasonal IPTDS,Instream Remote Detection System,45.516989,-116.868492,522.308.032.005.001,868,2023-03-07,NA,The installation of the Little Sheep Cr Seasonal IPTDS will aid in determining where the adult hatchery steelhead spawn in the Imnaha River subbasin. Array will be operational for 3 adult steelhead spawning seasons.
BSC,Big Sheep Creek ISA at km 6,Instream Remote Detection System,45.506482,-116.850735,522.308.032.006,868,2010-10-01,NA,"In-stream detection system consisting of a tandem array located in Big Sheep Creek. The array (BSC) located at river km 6 (N 45.50649, W -116.85067) consists of two arrays , deployed serially 10 m apart, of two 20 ft Biomark flat panel antennas each. BSC is operated by the Integrated Status and Effectiveness Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on October 20, 2010. The array includes ISEMP standard site monitoring equipment including air and water temperature probes, and a water pressure transducer to monitor stream level. Electrical power is provided by a thermal electric generator and remote communication provided by a satellite modem."
IR3,Upper Imnaha River ISA @ km 41,Instream Remote Detection System,45.489957,-116.804096,522.308.041,871,2011-02-01,NA,"In-stream detection system consisting of a tandem array located in the Upper Imnaha River.  The array (IR3) located at river km 41 (N 45.49004 W 116.80393) consists of two arrays , deployed serially 10 m apart, of three 20 ft Biomark flat panel antennas each. The upstream array spans all but 1.5 meters of the channel, starting from the right bank of channel.  The downstream array begins at the left bank and spans all but 4 meters of the channel.  IR3 is operated by the Integrated Status and Effectiveness Monitoring Project (ISEMP) cooperators Nez Perce Tribe and Quantitative Consultants, Inc. and was installed for continuous monitoring on February 15, 2011."
GCM,Grouse Creek Mouth,Instream Remote Detection System,45.328017,-116.806641,522.308.066.000,896,2020-03-18,NA,"The Grouse Creek Mouth (GCM) interrogation site consists of a tandem array in-stream detection system located in the Grouse Creek in the Imnaha River basin approximately 25m upstream from the confluence with the Imnaha River.  The array is under the Grouse Creek bridge on the upper Imnaha River road with all components located on  the county road right of way.  Each antenna spans the width of the creek under the bridge.  Stream side components include two stand alone Biomark IS1001 readers and a battery box on the western upstream side of the bridge.  GCM was installed March 2020 and began collecting data on March 18, 2020 and is expected to operate during adult steelhead returns, March - June. Power is from batteries that are manually changed out weekly.  Data are downloaded manually."
CZY,Crazyman Creek at 0.6 km,Instream Remote Detection System,45.2293,-116.84478,522.308.080.001,911,2013-11-08,NA,Instream detection system consisting of a tandum array located in the Imnaha River basin on Crazyman Creek. The array (CZY) is located at rkm 522.308.80.001 (N 45.22930 W -116.84478) and comprises of two arrays. Each array consists of two 10 foot Biomark light round black HPD antennas that spans the entire creek at base flow. Electrical power is from a thermal electric generator powered by eight 100 pound propane tanks. Remote communication is provided by a satellite phone modem. The site was installed on 11/8/2013.
IML,Imnaha River Weir Adult Ladder,Adult Fishway,45.194276,-116.868663,522.308.084,914,2015-05-18,2018-06-27,"The site is located at the Oregon Dept. of Fish and Wildlife (ODFW) fish weir on the Imnaha River. The site was initially installed with two antennas in the ladder; a third antenna was added in June 2018 to monitor all fish handled in the work room at the trap. The antennas are currently driven by Biomark IS1001s and controlled by a Biomark IS1001-MC. The equipment is powered by a Hybrid- TEG (model 5220 and 1kw solar). The readers are connected to the controller via Biomark Data-Over-Power (DOP) cabling. The MC is connected to a satellite modem for remote telemetry. The site is being remotely monitored by Biomark with automatic downloads (and PTAGIS submissions) every four hours. The power supply and remote telemetry are being shared by the three interrogation sites at the weir, IR4, IR5, and IML."
IR4,Imnaha Weir Downstream Array,Instream Remote Detection System,45.19446,-116.868774,522.308.084,914,2016-08-18,NA,"The site is located downstream of the Oregon Dept. of Fish and Wildlife (ODFW) fish weir on the Imnaha River. There are six antennas approximately 75-feet downstream of the weir. The antennas are driven by Biomark IS1001s and controlled by a Biomark IS1001-MC. The instream antennas are anchored to the streambed with a through-strut system. The equipment is powered by a Hybrid- TEG (model 5220 and 1kw solar). The readers are connected to the controller via Biomark Data-Over-Power (DOP) cabling. The MC is connected to a satellite modem for remote telemetry. The site is being remotely monitored by Biomark with automatic downloads (and PTAGIS submissions) every four hours. The power supply and remote telemetry are being shared by the three interrogation sites at the weir, IR4, IR5, and IML."
IR5,Imnaha Weir Upstream Array,Instream Remote Detection System,45.193188,-116.868593,522.308.084,914,2016-08-18,NA,"The site is located upstream of the Oregon Dept. of Fish and Wildlife (ODFW) fish weir on the Imnaha River. There are eight antennas approximately 300-feet upstream of the weir. The antennas are driven by Biomark IS1001s and controlled by a Biomark IS1001-MC. The instream antennas are anchored to the streambed with a through-strut system. The equipment is powered by a Hybrid- TEG (model 5220 and 1kw solar). The readers are connected to the controller via Biomark Data-Over-Power (DOP) cabling. The MC is connected to a satellite modem for remote telemetry. The site is being remotely monitored by Biomark with automatic downloads (and PTAGIS submissions) every four hours. The power supply and remote telemetry are being shared by the three interrogation sites at the weir, IR5, IR5, and IML."
