site_code,site_name,node,antenna_id,antenna_group,config_id
0HR,Henrys Instream Array,0HR,01,Main Array,100
0HR,Henrys Instream Array,0HR,02,Main Array,100
0HR,Henrys Instream Array,0HR,03,Main Array,100
18M,Eighteenmile Creek,18MA0,01,Upstream Array,100
18M,Eighteenmile Creek,18MA0,02,Middle Array,100
18M,Eighteenmile Creek,18MB0,03,Downstream Array,100
18M,Eighteenmile Creek,18MA0,01,Upstream Antenna,110
18M,Eighteenmile Creek,18MB0,02,Downstream Antenna,110
18M,Eighteenmile Creek,18MA0,01,Upstream Antenna,120
18M,Eighteenmile Creek,18MB0,02,Downstream Antenna,120
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,01,5-ANTENNA PARALLEL ARRAY,100
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,02,5-ANTENNA PARALLEL ARRAY,100
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,03,5-ANTENNA PARALLEL ARRAY,100
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,04,5-ANTENNA PARALLEL ARRAY,100
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,05,5-ANTENNA PARALLEL ARRAY,100
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,01,Single Array,110
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,02,Single Array,110
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,03,Single Array,110
ACB,Asotin Cr. at Cloverland Brdg.,ACBA0,01,Upstream Array,120
ACB,Asotin Cr. at Cloverland Brdg.,ACBA0,02,Upstream Array,120
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,03,Downstream Array,120
ACB,Asotin Cr. at Cloverland Brdg.,ACBB0,04,Downstream Array,120
ACM,Asotin Creek near mouth,ACMA0,F1,UPSTREAM ARRAY,100
ACM,Asotin Creek near mouth,ACMA0,F2,UPSTREAM ARRAY,100
ACM,Asotin Creek near mouth,ACMB0,F3,DOWNSTREAM ARRAY,100
ACM,Asotin Creek near mouth,ACMB0,F4,DOWNSTREAM ARRAY,100
ACM,Asotin Creek near mouth,ACMA0,01,UPSTREAM ARRAY,110
ACM,Asotin Creek near mouth,ACMA0,02,UPSTREAM ARRAY,110
ACM,Asotin Creek near mouth,ACMA0,03,MIDDLE ARRAY,110
ACM,Asotin Creek near mouth,ACMA0,04,MIDDLE ARRAY,110
ACM,Asotin Creek near mouth,ACMB0,05,DOWNSTREAM ARRAY,110
ACM,Asotin Creek near mouth,ACMB0,06,DOWNSTREAM ARRAY,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,01,NORTH FORK ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,02,NORTH FORK ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,03,MAINSTEM ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,04,MAINSTEM ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,05,MAINSTEM ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,06,SOUTH FORK ASOTIN CREEK ARRAY,100
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,01,North Fork Asotin Creek Array,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,02,South Fork Asotin Creek Array,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,03,Mainstem Asotin Creek Array,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,04,Mainstem Asotin Creek Array,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,05,Mainstem Asotin Creek Array,110
AFC,No./So. Fk Asotin Cr. Jct. ISA,AFC,06,Mainstem Asotin Creek Array,110
AGC,"Agency Creek, Lemhi R. Basin",AGCA0,01,Upstream Array,100
AGC,"Agency Creek, Lemhi R. Basin",AGCA0,02,Middle Array,100
AGC,"Agency Creek, Lemhi R. Basin",AGCB0,03,Downstream Array,100
BBA,Big Bear Creek Array,BBAB0,01,Single Span,100
BBA,Big Bear Creek Array,BBAB0,02,Single Span,100
BBA,Big Bear Creek Array,BBAA0,01,Upstream Antenna,110
BBA,Big Bear Creek Array,BBAB0,02,Downstream Antenna,110
BHC,Bohannon Creek Lemhi R Basin,BHCA0,A1,UPSTREAM,100
BHC,Bohannon Creek Lemhi R Basin,BHCB0,A2,DOWNSTREAM,100
BHC,Bohannon Creek Lemhi R Basin,BHCA0,01,Upstream Array,110
BHC,Bohannon Creek Lemhi R Basin,BHCA0,02,Middle Array,110
BHC,Bohannon Creek Lemhi R Basin,BHCB0,03,Downstream Array,110
BHC,Bohannon Creek Lemhi R Basin,BHCA0,01,Upstream Antenna,120
BHC,Bohannon Creek Lemhi R Basin,BHCB0,02,Downstream Antenna,120
BRC,Bear Valley Adult Video Weir,BRC,A1,Video Chamber,100
BRC,Bear Valley Adult Video Weir,BRC,A2,Video Chamber,100
BSC,Big Sheep Creek ISA at km 6,BSCA0,A1,UPSTREAM LEFT,100
BSC,Big Sheep Creek ISA at km 6,BSCA0,A2,UPSTREAM RIGHT,100
BSC,Big Sheep Creek ISA at km 6,BSCB0,A3,DOWNSTREAM LEFT,100
BSC,Big Sheep Creek ISA at km 6,BSCB0,A4,DOWNSTREAM RIGHT,100
BTC,Big Timber Creek,BTCA0,B1,UPSTREAM 10-FT PASSBY ANTENNA,100
BTC,Big Timber Creek,BTCB0,B2,DNSTREAM 10-FT PASSBY ANTENNA,100
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,01,Upstream Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,02,Upstream Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,03,Middle Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,04,Middle Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLB0,05,Downstream Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLB0,06,Downstream Array,100
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,01,Upstream Antenna,110
BTL,"Lower Big Timber, Lemhi Basin",BTLB0,02,Downstream Antenna,110
BTL,"Lower Big Timber, Lemhi Basin",BTLA0,01,Upstream Antenna,120
BTL,"Lower Big Timber, Lemhi Basin",BTLB0,02,Downstream Antenna,120
BTM,Big Timber Creek - Middle,BTMA0,01,Upstream Array,100
BTM,Big Timber Creek - Middle,BTMA0,02,Middle Array,100
BTM,Big Timber Creek - Middle,BTMA0,03,Middle Array,100
BTM,Big Timber Creek - Middle,BTMB0,04,Downstream Array,100
BTU,Big Timber Creek - Upper,BTUA0,A1,Upstream Array,100
BTU,Big Timber Creek - Upper,BTUA0,A2,Upstream Array,100
BTU,Big Timber Creek - Upper,BTUB0,A3,Downstream Array,100
BTU,Big Timber Creek - Upper,BTUB0,A4,Downstream Array,100
BTU,Big Timber Creek - Upper,BTUA0,A1,Upstream Array,110
BTU,Big Timber Creek - Upper,BTUA0,A2,Upstream Array,110
BTU,Big Timber Creek - Upper,BTUB0,A3,Downstream Array,110
BTU,Big Timber Creek - Upper,BTUB0,A4,Downstream Array,110
CAC,Canyon Creek ISA @ km 1,CACA0,C1,UPSTREAM ANTENNA,100
CAC,Canyon Creek ISA @ km 1,CACB0,C2,DOWNSTREAM ANTENNA,100
CAC,Canyon Creek ISA @ km 1,CACA0,01,Upstream Antenna,110
CAC,Canyon Creek ISA @ km 1,CACB0,02,Downstream Antenna,110
CCA,Lower Charley Creek ISA,CCAB0,01,Single Antenna,80
CCA,Lower Charley Creek ISA,CCAA0,01,Upstream Antenna,90
CCA,Lower Charley Creek ISA,CCAB0,02,Downstream Antenna,90
CCA,Lower Charley Creek ISA,CCAA0,F1,UPSTREAM ANTENNA,100
CCA,Lower Charley Creek ISA,CCAB0,F2,DOWNSTREAM ANTENNA,100
CCA,Lower Charley Creek ISA,CCAA0,01,UPSTREAM ANTENNA,110
CCA,Lower Charley Creek ISA,CCAB0,02,DOWNSTREAM ANTENNA,110
CCA,Lower Charley Creek ISA,CCAA0,03,UPSTREAM ANTENNA,120
CCA,Lower Charley Creek ISA,CCAB0,04,DOWNSTREAM ANTENNA,120
CCA,Lower Charley Creek ISA,CCAA0,03,Upstream Antenna,130
CCA,Lower Charley Creek ISA,CCAA0,04,Middle Antenna,130
CCA,Lower Charley Creek ISA,CCAB0,05,Downstream Antenna,130
CCA,Lower Charley Creek ISA,CCAA0,01,Upstream Antenna,140
CCA,Lower Charley Creek ISA,CCAA0,02,Middle Antenna,140
CCA,Lower Charley Creek ISA,CCAB0,03,Downstream Antenna,140
CCU,Catherine Creek at Union,CCUA0,01,Upstream Array,100
CCU,Catherine Creek at Union,CCUA0,02,Upstream Array,100
CCU,Catherine Creek at Union,CCUB0,03,Downstream Array,100
CCU,Catherine Creek at Union,CCUB0,04,Downstream Array,100
CCW,Catherine Creek Ladder/Weir,CCWA0,C1,Top Ladder Antenna,100
CCW,Catherine Creek Ladder/Weir,CCWB0,C2,Bottom Ladder Antenna,100
CCW,Catherine Creek Ladder/Weir,CCWA0,01,Top Ladder Antenna,110
CCW,Catherine Creek Ladder/Weir,CCWB0,02,Bottom Ladder Antenna,110
CEY,Cearley Creek Side Channel,CEYA0,01,Upstream Array,100
CEY,Cearley Creek Side Channel,CEYA0,02,Upstream Array,100
CEY,Cearley Creek Side Channel,CEYB0,03,Downstream Array,100
CEY,Cearley Creek Side Channel,CEYB0,04,Downstream Array,100
CLC,Clear Creek near Kooskia NFH,CLC,01,Clear Creek Array,100
CLC,Clear Creek near Kooskia NFH,CLC,02,Clear Creek Array,100
CLC,Clear Creek near Kooskia NFH,CLC,03,Clear Creek Array,100
CLC,Clear Creek near Kooskia NFH,CLC,04,Clear Creek Array,100
CLC,Clear Creek near Kooskia NFH,CLC,05,Clear Creek Array,100
CMP,Camp Creek at rkm 2 - Imnaha,CMPA0,C1,Upstream Array,100
CMP,Camp Creek at rkm 2 - Imnaha,CMPA0,C2,Upstream Array,100
CMP,Camp Creek at rkm 2 - Imnaha,CMPB0,C3,Downstream Array,100
CMP,Camp Creek at rkm 2 - Imnaha,CMPB0,C4,Downstream Array,100
COC,Cow Creek ISA @ stream mouth,COCA0,A1,UPSTREAM ANTENNA,100
COC,Cow Creek ISA @ stream mouth,COCB0,A2,DOWNSTREAM ANTENNA,100
CRA,Crooked River Array,CRAA0,01,Upstream Array,100
CRA,Crooked River Array,CRAA0,02,Upstream Array,100
CRA,Crooked River Array,CRAB0,03,Downstream Array,100
CRA,Crooked River Array,CRAB0,04,Downstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,01,Upstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,02,Upstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,03,Upstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,04,Middle Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,05,Middle Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCA0,06,Middle Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCB0,07,Downstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCB0,08,Downstream Array,100
CRC,"Carmen Creek, Salmon R. Basin",CRCB0,09,Downstream Array,100
CZY,Crazyman Creek at 0.6 km,CZYA0,A1,Upstream Array,100
CZY,Crazyman Creek at 0.6 km,CZYA0,A2,Upstream Array,100
CZY,Crazyman Creek at 0.6 km,CZYB0,A3,Downstream Array,100
CZY,Crazyman Creek at 0.6 km,CZYB0,A4,Downstream Array,100
EPR,East Fork Potlatch Array,EPRA0,01,Upstream Antenna,100
EPR,East Fork Potlatch Array,EPRB0,02,Downstream Antenna,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A1,UPPER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A2,UPPER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A3,UPPER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A4,UPPER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A5,Upper In-stream Array,100
ESS,EFSF Salmon River at Parks Cr.,ESSA0,A6,Upper In-stream Array,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B1,LOWER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B2,LOWER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B3,LOWER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B4,LOWER IN-STREAM ARRAY,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B5,Lower In-stream Array,100
ESS,EFSF Salmon River at Parks Cr.,ESSB0,B6,Lower In-stream Array,100
EVL,Eagle Valley Ranch - Lower,EVLA0,01,Upstream Array,100
EVL,Eagle Valley Ranch - Lower,EVLA0,02,Upstream Array,100
EVL,Eagle Valley Ranch - Lower,EVLA0,03,Upstream Array,100
EVL,Eagle Valley Ranch - Lower,EVLB0,04,Downstream Array,100
EVL,Eagle Valley Ranch - Lower,EVLB0,05,Downstream Array,100
EVL,Eagle Valley Ranch - Lower,EVLB0,06,Downstream Array,100
EVU,Eagle Valley Ranch - Upper,EVUA0,01,Upstream Array,100
EVU,Eagle Valley Ranch - Upper,EVUA0,02,Upstream Array,100
EVU,Eagle Valley Ranch - Upper,EVUA0,03,Upstream Array,100
EVU,Eagle Valley Ranch - Upper,EVUB0,04,Downstream Array,100
EVU,Eagle Valley Ranch - Upper,EVUB0,05,Downstream Array,100
EVU,Eagle Valley Ranch - Upper,EVUB0,06,Downstream Array,100
GCM,Grouse Creek Mouth,GCMA0,01,Upstream Antenna,100
GCM,Grouse Creek Mouth,GCMB0,02,Downstream Antenna,100
GOA,Little Goose Fish Ladder,GOA,01,Counting Window,100
GOA,Little Goose Fish Ladder,GOA,02,Counting Window,100
GRA,Lower Granite Dam Adult,GRA,00,EAST,100
GRA,Lower Granite Dam Adult,GRA,02,EAST,100
GRA,Lower Granite Dam Adult,GRA,04,WEST,100
GRA,Lower Granite Dam Adult,GRA,06,WEST,100
GRA,Lower Granite Dam Adult,GRA,08,EAST,100
GRA,Lower Granite Dam Adult,GRA,0A,EAST,100
GRA,Lower Granite Dam Adult,GRA,0C,WEST,100
GRA,Lower Granite Dam Adult,GRA,0E,WEST,100
GRA,Lower Granite Dam Adult,GRA,6C,,100
GRA,Lower Granite Dam Adult,GRA,70,,100
GRA,Lower Granite Dam Adult,GRA,72,,100
GRA,Lower Granite Dam Adult,GRA,78,,100
GRA,Lower Granite Dam Adult,GRA,7A,,100
GRA,Lower Granite Dam Adult,GRA,7C,,100
GRA,Lower Granite Dam Adult,GRA,7E,,100
GRA,Lower Granite Dam Adult,GRA,00,EAST,110
GRA,Lower Granite Dam Adult,GRA,01,,110
GRA,Lower Granite Dam Adult,GRA,02,EAST,110
GRA,Lower Granite Dam Adult,GRA,04,EAST,110
GRA,Lower Granite Dam Adult,GRA,06,EAST,110
GRA,Lower Granite Dam Adult,GRA,08,EAST,110
GRA,Lower Granite Dam Adult,GRA,10,WEST,110
GRA,Lower Granite Dam Adult,GRA,12,WEST,110
GRA,Lower Granite Dam Adult,GRA,14,WEST,110
GRA,Lower Granite Dam Adult,GRA,16,WEST,110
GRA,Lower Granite Dam Adult,GRA,18,WEST,110
GRA,Lower Granite Dam Adult,GRA,00,400 KHZ EAST,120
GRA,Lower Granite Dam Adult,GRA,02,400 KHZ EAST,120
GRA,Lower Granite Dam Adult,GRA,04,400 KHZ EAST,120
GRA,Lower Granite Dam Adult,GRA,10,400 KHZ WEST,120
GRA,Lower Granite Dam Adult,GRA,12,400 KHZ WEST,120
GRA,Lower Granite Dam Adult,GRA,14,400 KHZ WEST,120
GRA,Lower Granite Dam Adult,GRA,A4,ISO EAST,120
GRA,Lower Granite Dam Adult,GRA,A5,ISO EAST,120
GRA,Lower Granite Dam Adult,GRA,B4,ISO WEST,120
GRA,Lower Granite Dam Adult,GRA,B5,ISO WEST,120
GRA,Lower Granite Dam Adult,GRA,01,WEIR 733,130
GRA,Lower Granite Dam Adult,GRA,02,WEIR 733,130
GRA,Lower Granite Dam Adult,GRA,03,WEIR 732,130
GRA,Lower Granite Dam Adult,GRA,04,WEIR 732,130
GRA,Lower Granite Dam Adult,GRA,05,WEIR 731,130
GRA,Lower Granite Dam Adult,GRA,06,WEIR 731,130
GRA,Lower Granite Dam Adult,GRA,07,WEIR 730,130
GRA,Lower Granite Dam Adult,GRA,08,WEIR 730,130
GRA,Lower Granite Dam Adult,GRA,10,ISO WEST,130
GRA,Lower Granite Dam Adult,GRA,12,ISO WEST,130
GRA,Lower Granite Dam Adult,GRA,14,400 KHZ WEST,130
GRA,Lower Granite Dam Adult,GRA,16,400 KHZ WEST,130
GRA,Lower Granite Dam Adult,GRA,18,400 KHZ WEST,130
GRA,Lower Granite Dam Adult,GRA,20,ISO EAST,130
GRA,Lower Granite Dam Adult,GRA,22,ISO EAST,130
GRA,Lower Granite Dam Adult,GRA,24,400 KHZ EAST,130
GRA,Lower Granite Dam Adult,GRA,26,400 KHZ EAST,130
GRA,Lower Granite Dam Adult,GRA,28,400 KHZ EAST,130
GRA,Lower Granite Dam Adult,GRA,01,WEIR 733,140
GRA,Lower Granite Dam Adult,GRA,02,WEIR 733,140
GRA,Lower Granite Dam Adult,GRA,03,WEIR 732,140
GRA,Lower Granite Dam Adult,GRA,04,WEIR 732,140
GRA,Lower Granite Dam Adult,GRA,05,WEIR 731,140
GRA,Lower Granite Dam Adult,GRA,06,WEIR 731,140
GRA,Lower Granite Dam Adult,GRA,07,WEIR 730,140
GRA,Lower Granite Dam Adult,GRA,08,WEIR 730,140
GRA,Lower Granite Dam Adult,GRA,12,ISO WEST,140
GRA,Lower Granite Dam Adult,GRA,14,ISO WEST,140
GRA,Lower Granite Dam Adult,GRA,16,ISO WEST,140
GRA,Lower Granite Dam Adult,GRA,18,ISO WEST,140
GRA,Lower Granite Dam Adult,GRA,22,ISO EAST,140
GRA,Lower Granite Dam Adult,GRA,24,ISO EAST,140
GRA,Lower Granite Dam Adult,GRA,26,ISO EAST,140
GRA,Lower Granite Dam Adult,GRA,28,ISO EAST,140
GRA,Lower Granite Dam Adult,GRA,01,WEIR 733,150
GRA,Lower Granite Dam Adult,GRA,02,WEIR 733,150
GRA,Lower Granite Dam Adult,GRA,03,WEIR 732,150
GRA,Lower Granite Dam Adult,GRA,04,WEIR 732,150
GRA,Lower Granite Dam Adult,GRA,05,WEIR 731,150
GRA,Lower Granite Dam Adult,GRA,06,WEIR 731,150
GRA,Lower Granite Dam Adult,GRA,07,WEIR 730,150
GRA,Lower Granite Dam Adult,GRA,08,WEIR 730,150
GRA,Lower Granite Dam Adult,GRA,12,ISO WEST,150
GRA,Lower Granite Dam Adult,GRA,14,ISO WEST,150
GRA,Lower Granite Dam Adult,GRA,16,ISO WEST,150
GRA,Lower Granite Dam Adult,GRA,18,ISO WEST,150
GRA,Lower Granite Dam Adult,GRA,22,ISO EAST,150
GRA,Lower Granite Dam Adult,GRA,24,ISO EAST,150
GRA,Lower Granite Dam Adult,GRA,26,ISO EAST,150
GRA,Lower Granite Dam Adult,GRA,28,ISO EAST,150
GRA,Lower Granite Dam Adult,GRA,A1,Ladder Exit,150
GRA,Lower Granite Dam Adult,GRA,A2,Ladder Exit,150
GRA,Lower Granite Dam Adult,GRA,B1,Ladder Entrance,150
GRA,Lower Granite Dam Adult,GRA,B2,Ladder Entrance,150
GRA,Lower Granite Dam Adult,GRA,B3,Ladder Entrance,150
GRA,Lower Granite Dam Adult,GRA,B4,Ladder Entrance,150
HEC,Hawley Cr/18 Mile Cr Array,HECA0,01,Hawley Upstream Array,100
HEC,Hawley Cr/18 Mile Cr Array,HECA0,02,Hawley Middle Array,100
HEC,Hawley Cr/18 Mile Cr Array,HECB0,03,Hawley Downstream Array,100
HEC,Hawley Cr/18 Mile Cr Array,HECA0,04,18 Mile Upstream Array,100
HEC,Hawley Cr/18 Mile Cr Array,HECA0,05,18 Mile Middle Array,100
HEC,Hawley Cr/18 Mile Cr Array,HECB0,06,18 Mile Downstream Array,100
HLM,Potlatch River near Helmer,HLMA0,A1,UPPER LEFT 20-FT ANTENNA,100
HLM,Potlatch River near Helmer,HLMA0,A2,UPPER RIGHT 10-FT ANTENNA,100
HLM,Potlatch River near Helmer,HLMB0,A3,LOWER LEFT 20-FT ANTENNA,100
HLM,Potlatch River near Helmer,HLMB0,A4,LOWER RIGHT 20-FT ANTENNA,100
HLM,Potlatch River near Helmer,HLMA0,A1,Upstream Array,110
HLM,Potlatch River near Helmer,HLMA0,A2,Upstream Array,110
HLM,Potlatch River near Helmer,HLMA0,A3,Upstream Array,110
HLM,Potlatch River near Helmer,HLMB0,A4,Downstream Array,110
HLM,Potlatch River near Helmer,HLMB0,A5,Downstream Array,110
HLM,Potlatch River near Helmer,HLMB0,A6,Downstream Array,110
HYC,Hayden Creek In-stream Array,HYCB0,A1,IN-STREAM ARRAY,100
HYC,Hayden Creek In-stream Array,HYCB0,A2,IN-STREAM ARRAY,100
HYC,Hayden Creek In-stream Array,HYCA0,A1,UPSTREAM ARRAY,110
HYC,Hayden Creek In-stream Array,HYCA0,A2,UPSTREAM ARRAY,110
HYC,Hayden Creek In-stream Array,HYCA0,A3,UPSTREAM ARRAY,110
HYC,Hayden Creek In-stream Array,HYCB0,A4,DOWNSTREAM ARRAY,110
HYC,Hayden Creek In-stream Array,HYCB0,A5,DOWNSTREAM ARRAY,110
HYC,Hayden Creek In-stream Array,HYCA0,A1,UPSTREAM ARRAY,120
HYC,Hayden Creek In-stream Array,HYCA0,A3,UPSTREAM ARRAY,120
HYC,Hayden Creek In-stream Array,HYCA0,A4,UPSTREAM ARRAY,120
HYC,Hayden Creek In-stream Array,HYCB0,A5,DOWNSTREAM ARRAY,120
HYC,Hayden Creek In-stream Array,HYCB0,A6,DOWNSTREAM ARRAY,120
HYC,Hayden Creek In-stream Array,HYCA0,01,Upstream Array,130
HYC,Hayden Creek In-stream Array,HYCA0,02,Upstream Array,130
HYC,Hayden Creek In-stream Array,HYCB0,03,Downstream Array,130
HYC,Hayden Creek In-stream Array,HYCB0,04,Downstream Array,130
IHA,Ice Harbor Adult,IHA,01,LEFT LADDER WEIR 438 [O/S],100
IHA,Ice Harbor Adult,IHA,02,LEFT LADDER WEIR 438 [O/S],100
IHA,Ice Harbor Adult,IHA,03,LEFT LADDER WEIR 437 [O/S],100
IHA,Ice Harbor Adult,IHA,04,LEFT LADDER WEIR 437 [O/S],100
IHA,Ice Harbor Adult,IHA,05,LEFT LADDER WEIR 436 [O/S],100
IHA,Ice Harbor Adult,IHA,06,LEFT LADDER WEIR 436 [O/S],100
IHA,Ice Harbor Adult,IHA,07,LEFT LADDER WEIR 435 [O/S],100
IHA,Ice Harbor Adult,IHA,08,LEFT LADDER WEIR 435 [O/S],100
IHA,Ice Harbor Adult,IHA,09,RIGHT LADDER WEIR 438 [S/O],100
IHA,Ice Harbor Adult,IHA,0A,RIGHT LADDER WEIR 438 [S/O],100
IHA,Ice Harbor Adult,IHA,0B,RIGHT LADDER WEIR 437 [S/O],100
IHA,Ice Harbor Adult,IHA,0C,RIGHT LADDER WEIR 437 [S/O],100
IHA,Ice Harbor Adult,IHA,0D,RIGHT LADDER WEIR 436 [S/O],100
IHA,Ice Harbor Adult,IHA,0E,RIGHT LADDER WEIR 436 [S/O],100
IHA,Ice Harbor Adult,IHA,0F,RIGHT LADDER WEIR 435 [S/O],100
IHA,Ice Harbor Adult,IHA,10,RIGHT LADDER WEIR 435 [S/O],100
IML,Imnaha River Weir Adult Ladder,IMLA0,11,Top Ladder Antenna,100
IML,Imnaha River Weir Adult Ladder,IMLB0,12,Bottom Ladder Antenna,100
IML,Imnaha River Weir Adult Ladder,IMLA0,F1,Top Ladder Antenna,110
IML,Imnaha River Weir Adult Ladder,IMLB0,F2,Bottom Ladder Antenna,110
IML,Imnaha River Weir Adult Ladder,IMLA0,07,Upper Ladder Antenna,120
IML,Imnaha River Weir Adult Ladder,IMLB0,08,Lower Ladder Antenna,120
IML,Imnaha River Weir Adult Ladder,IMLA0,07,Upper Ladder Antenna,130
IML,Imnaha River Weir Adult Ladder,IMLB0,08,Lower Ladder Antenna,130
IML,Imnaha River Weir Adult Ladder,IMLB0,09,Work Room Antenna,130
IR1,Lower Imnaha River ISA @ km 7,IR1,B1,STREAM BANK LEFT,100
IR1,Lower Imnaha River ISA @ km 7,IR1,B2,STREAM CENTER LEFT,100
IR1,Lower Imnaha River ISA @ km 7,IR1,B3,STREAM CENTER RIGHT,100
IR1,Lower Imnaha River ISA @ km 7,IR1,B4,STREAM BANK RIGHT,100
IR2,Lower Imnaha River ISA @ km 10,IR2,A1,STREAM BANK LEFT,100
IR2,Lower Imnaha River ISA @ km 10,IR2,A2,STREAM CENTER LEFT,100
IR2,Lower Imnaha River ISA @ km 10,IR2,A3,STREAM CENTER,100
IR2,Lower Imnaha River ISA @ km 10,IR2,A4,STREAM CENTER RIGHT,100
