site_code,name,active,operational,first_year,last_year,first_date,last_date,last_file_opened_on,operation_period,operations_organization_code,rkm,site_type,latitude,longitude
0HR,Henrys Instream Array,TRUE,TRUE,2022,2024,2022-07-26T06:34:42,2023-01-01T00:00:00,2024-05-06T04:06:15,Year Round,BIOMRK,522.303.416.047,Instream Remote Detection System,44.896901,-113.624685
18M,Eighteenmile Creek,TRUE,NA,2014,2024,2015-06-25T00:00:00,2024-01-01T00:00:00,2024-05-06T04:43:11,Year Round,BIOMRK,522.303.416.092.001,Instream Remote Detection System,44.682795,-113.35366
ACB,Asotin Cr. at Cloverland Brdg.,TRUE,TRUE,2009,2024,2009-07-30T00:00:00,2024-01-01T00:00:00,2024-04-11T07:33:51,Year Round,SRSRB,522.234.005,Instream Remote Detection System,46.325584,-117.108679
ACM,Asotin Creek near mouth,TRUE,TRUE,2011,2024,2011-08-01T00:00:00,2024-01-01T00:00:00,2024-04-11T13:09:06,Year Round,SRSRB,522.234.001,Instream Remote Detection System,46.341368,-117.055707
AFC,No./So. Fk Asotin Cr. Jct. ISA,TRUE,TRUE,2009,2024,2009-07-30T00:00:00,2024-01-01T00:00:00,2024-04-11T07:50:46,Year Round,SRSRB,522.234.025,Instream Remote Detection System,46.272487,-117.292147
AGC,"Agency Creek, Lemhi R. Basin",FALSE,NA,2014,2016,2014-05-14T21:00:00,2016-11-06T06:10:00,NA,Seasonally,QCI,522.303.416.039.001,Instream Remote Detection System,44.956739,-113.639543
BBA,Big Bear Creek Array,TRUE,NA,2018,2024,2018-01-01T00:00:00,2023-11-02T00:00:00,2023-10-31T21:01:05,Seasonally,IDFG,522.224.024.023.002,Instream Remote Detection System,46.627882,-116.650795
BHC,Bohannon Creek Lemhi R Basin,TRUE,TRUE,2011,2024,2011-12-06T09:00:00,2024-01-01T00:00:00,2024-05-06T04:54:06,Year Round,BIOMRK,522.303.416.017.001,Instream Remote Detection System,45.112189,-113.746897
BSC,Big Sheep Creek ISA at km 6,TRUE,TRUE,2010,2024,2010-10-28T00:00:00,2024-01-01T00:00:00,2024-05-06T04:14:19,Year Round,BIOMRK,522.308.032.006,Instream Remote Detection System,45.506482,-116.850735
BTL,"Lower Big Timber, Lemhi Basin",TRUE,NA,2013,2024,2013-10-16T00:00:00,2024-01-01T00:00:00,2024-05-06T02:22:37,Year Round,BIOMRK,522.303.416.089.001,Instream Remote Detection System,44.697568,-113.374118
BTM,Big Timber Creek - Middle,FALSE,FALSE,2015,2018,2015-03-19T00:00:00,2018-04-20T00:00:00,NA,Year Round,IDFG,522.303.416.089.005,Instream Remote Detection System,44.660444,-113.377624
BTU,Big Timber Creek - Upper,FALSE,NA,2015,2018,2015-08-08T00:00:00,2018-08-01T00:00:00,NA,Year Round,IDFG,522.303.416.089.011,Instream Remote Detection System,44.61386,-113.397036
CAC,Canyon Creek ISA @ km 1,TRUE,NA,2010,2024,2010-11-12T11:41:00,2024-01-01T00:00:00,2024-05-06T01:42:00,Year Round,BIOMRK,522.303.416.090.001,Instream Remote Detection System,44.69109,-113.365281
CCA,Lower Charley Creek ISA,TRUE,TRUE,2009,2024,2009-08-07T00:00:00,2024-01-01T00:00:00,2024-04-11T08:37:27,Year Round,SRSRB,522.234.022.001,Instream Remote Detection System,46.288458,-117.282497
CEY,Cearley Creek Side Channel,FALSE,FALSE,2016,2018,2016-01-26T00:00:00,2018-10-09T00:00:00,NA,Year Round,SHOBAN,522.303.591.009,Instream Remote Detection System,44.339059,-114.72164
COC,Cow Creek ISA @ stream mouth,TRUE,TRUE,2011,2024,2011-02-15T00:00:00,2023-05-01T00:00:00,2024-04-12T11:39:27,Year Round,BIOMRK,522.308.006.001,Instream Remote Detection System,45.76774,-116.744037
CRA,Crooked River Array,TRUE,NA,2021,2024,2022-03-16T00:00:00,2024-01-01T00:00:00,2024-05-06T01:54:54,Year Round,IDFG,522.224.120.094.000,Instream Remote Detection System,45.821493,-115.52766
CRC,"Carmen Creek, Salmon R. Basin",FALSE,NA,2013,2018,2013-10-24T00:00:00,2017-02-03T00:00:00,NA,Year Round,BIOMRK,522.303.408.001,Instream Remote Detection System,45.246485,-113.893466
CZY,Crazyman Creek at 0.6 km,TRUE,TRUE,2014,2024,2014-03-25T00:00:00,2023-06-28T00:00:00,2024-04-25T13:23:34,Seasonally,NPT,522.308.080.001,Instream Remote Detection System,45.2293,-116.84478
EPR,East Fork Potlatch Array,TRUE,NA,2019,2024,2019-11-13T00:00:00,2024-01-01T00:00:00,2024-05-06T03:03:34,Year Round,IDFG,522.224.024.065.003,Instream Remote Detection System,46.795091,-116.41088
ESS,EFSF Salmon River at Parks Cr.,TRUE,TRUE,2009,2024,2009-03-26T12:00:00,2024-01-01T00:00:00,2024-05-04T23:37:46,Year Round,BIOMRK,522.303.215.060.021,Instream Remote Detection System,44.956205,-115.53315
EVL,Eagle Valley Ranch - Lower,TRUE,NA,2019,2024,2019-09-21T00:00:00,2024-01-01T00:00:00,2024-05-06T03:30:58,Year Round,BIOMRK,522.303.416.016,Instream Remote Detection System,45.115074,-113.774021
EVU,Eagle Valley Ranch - Upper,TRUE,NA,2019,2024,2019-07-18T00:00:00,2024-01-01T00:00:00,2024-05-06T03:30:15,Year Round,BIOMRK,522.303.416.020,Instream Remote Detection System,45.100087,-113.726042
HEC,Hawley Cr/18 Mile Cr Array,FALSE,NA,2013,2015,2013-10-12T00:00:00,2015-12-12T00:00:00,NA,Seasonally,QCI,522.303.416.092.004.001,Instream Remote Detection System,44.668594,-113.31155
HYC,Hayden Creek In-stream Array,TRUE,FALSE,2009,2024,2009-08-19T00:00:00,2024-01-01T00:00:00,2024-05-06T05:13:14,Year Round,BIOMRK,522.303.416.049.001,Instream Remote Detection System,44.861654,-113.631937
IML,Imnaha River Weir Adult Ladder,TRUE,TRUE,2015,2024,2015-05-18T00:00:00,2023-09-02T00:00:00,2024-04-10T09:50:49,Seasonally,ODFW,522.308.084,Adult Fishway,45.194276,-116.868663
IR1,Lower Imnaha River ISA @ km 7,TRUE,TRUE,2010,2024,2010-12-03T00:00:00,2024-01-01T00:00:00,2024-05-06T04:25:28,Year Round,BIOMRK,522.308.007,Instream Remote Detection System,45.761052,-116.750231
IR2,Lower Imnaha River ISA @ km 10,TRUE,TRUE,2010,2024,2010-11-13T00:00:00,2024-01-01T00:00:00,2024-05-06T04:10:09,Year Round,BIOMRK,522.308.010,Instream Remote Detection System,45.742702,-116.764304
IR3,Upper Imnaha River ISA @ km 41,TRUE,TRUE,2011,2024,2011-02-15T00:00:00,2024-01-01T00:00:00,2024-05-06T04:33:40,Year Round,BIOMRK,522.308.041,Instream Remote Detection System,45.489957,-116.804096
IR4,Imnaha Weir Downstream Array,TRUE,FALSE,2016,2024,2016-08-18T00:00:00,2023-09-02T00:00:00,2024-04-10T09:50:56,Year Round,ODFW,522.308.084,Instream Remote Detection System,45.19446,-116.868774
IR5,Imnaha Weir Upstream Array,TRUE,FALSE,2016,2024,2016-08-18T00:00:00,2024-01-01T00:00:00,2024-04-10T10:53:53,Year Round,ODFW,522.308.084,Instream Remote Detection System,45.193188,-116.868593
JOC,Joseph Creek ISA @ km 3,TRUE,TRUE,2010,2024,2010-10-15T00:00:00,2024-01-01T00:00:00,2024-05-06T04:46:15,Year Round,BIOMRK,522.271.007.003,Instream Remote Detection System,46.027373,-117.018146
KEN,Kenney Creek In-stream Arrays,TRUE,TRUE,2010,2024,2010-06-01T00:00:00,2024-01-01T00:00:00,2024-05-06T01:48:53,Year Round,IDFG,522.303.416.029.000,Instream Remote Detection System,45.026792,-113.654847
KRS,SF Salmon River at Krassel Cr.,TRUE,TRUE,2008,2024,2008-02-27T00:00:00,2024-01-01T00:00:00,2024-05-06T04:47:14,Year Round,BIOMRK,522.303.215.065,Instream Remote Detection System,44.978472,-115.726994
LAP,"Lapwai Creek, near its mouth",TRUE,TRUE,2009,2024,2009-06-08T00:00:00,2024-01-01T00:00:00,2024-05-06T01:58:16,Year Round,NPT,522.224.019.001,Instream Remote Detection System,46.443273,-116.812535
LBS,Big Springs Creek,TRUE,NA,2014,2024,2014-07-27T00:00:00,2024-01-01T00:00:00,2024-05-06T03:58:33,Year Round,BIOMRK,522.303.416.077.001,Instream Remote Detection System,44.727349,-113.433214
LC1,Lower Lolo Creek at rkm 21,TRUE,TRUE,2011,2024,2011-11-18T00:00:00,2024-01-01T00:00:00,2024-05-06T03:15:04,Year Round,BIOMRK,522.224.087.021,Instream Remote Detection System,46.29436,-115.97616
LC2,Upper Lolo Creek at rkm 25,TRUE,TRUE,2011,2024,2011-11-04T00:00:00,2024-01-01T00:00:00,2024-05-06T02:57:50,Year Round,BIOMRK,522.224.087.025,Instream Remote Detection System,46.290498,-115.933747
LCL,"Lee Creek, Lemhi R. Basin",FALSE,TRUE,2014,2018,2014-08-25T02:03:00,2018-03-29T19:00:00,NA,Year Round,BIOMRK,522.303.416.079.001,Instream Remote Detection System,44.747074,-113.474641
LLR,Lower Lemhi River,TRUE,NA,2009,2024,2009-08-18T00:00:00,2024-01-01T00:00:00,2024-05-06T04:27:36,Year Round,IDFG,522.303.416.001,Instream Remote Detection System,45.176475,-113.885278
LLS,Lemhi Little Springs Instream,TRUE,NA,2011,2024,2011-06-14T00:00:00,2024-01-01T00:00:00,2024-05-06T04:07:53,Year Round,BIOMRK,522.303.416.066.000,Instream Remote Detection System,44.780552,-113.545027
LRL,Lower Lochsa River Array Site,TRUE,TRUE,2016,2024,2016-10-05T00:00:00,2024-01-01T00:00:00,2024-05-06T02:33:20,Year Round,IDFG,522.224.120.037.001,Instream Remote Detection System,46.145727,-115.596497
LRU,Lochsa River Upper Site,TRUE,TRUE,2017,2024,2017-12-05T00:00:00,2024-01-01T00:00:00,2024-05-05T20:11:27,Year Round,IDFG,522.224.120.037.003,Instream Remote Detection System,46.163821,-115.589663
LRW,Lemhi River Weir,TRUE,TRUE,2009,2024,2009-08-18T15:50:00,2023-08-19T00:00:00,2024-05-06T00:06:37,Year Round,BIOMRK,522.303.416.050,Instream Remote Detection System,44.86596,-113.624721
LTR,Lower Tucannon River,TRUE,TRUE,2005,2024,2005-10-01T00:00:00,2024-01-01T00:00:00,2024-05-06T01:10:12,Year Round,WDFW,522.100.003,Instream Remote Detection System,46.544192,-118.162901
MAR,Marsh Cr at Lola Cr Campground,TRUE,NA,2019,2024,2019-10-17T00:00:00,2024-01-01T00:00:00,2024-05-05T23:37:53,Year Round,BIOMRK,522.303.319.170.008,Instream Remote Detection System,44.408689,-115.179841
MIS,Mission Creek,FALSE,FALSE,2010,2019,2010-12-23T15:15:00,2019-04-09T00:00:00,NA,Year Round,NPT,522.224.019.016.001,Instream Remote Detection System,46.367062,-116.735597
MTR,Middle Tucannon River,TRUE,TRUE,2011,2024,2011-09-23T00:00:00,2024-01-01T00:00:00,2024-05-06T03:45:22,Year Round,WDFW,522.100.019,Instream Remote Detection System,46.505239,-118.016274
NFS,North Fork Salmon River,TRUE,NA,2015,2024,2016-04-02T00:00:00,2024-01-01T00:00:00,2024-05-03T04:57:16,Year Round,BIOMRK,522.303.381.002,Instream Remote Detection System,45.417558,-113.994089
PCA,Panther Creek Array,TRUE,FALSE,2017,2024,2017-07-27T00:00:00,2024-01-01T00:00:00,2024-05-06T03:22:56,Year Round,SHOBAN,522.303.338.005,Instream Remote Detection System,45.295253,-114.358101
PCM,"Pine Creek Mouth, Potlatch R.",FALSE,NA,2015,2017,2015-10-01T00:00:00,2017-03-10T00:00:00,NA,Year Round,IDFG,522.224.024.028.001,Instream Remote Detection System,46.630673,-116.596836
RFL,Redfish Lake Creek,TRUE,FALSE,2018,2024,2018-04-13T00:00:00,2023-10-30T00:00:00,2024-05-06T02:29:11,Year Round,IDFG,522.303.615.001,Instream Remote Detection System,44.164727,-114.905043
SC1,Lower SF Clearwater R at rkm 1,TRUE,TRUE,2011,2024,2011-08-18T00:00:00,2024-01-01T00:00:00,2024-05-06T01:06:42,Year Round,BIOMRK,522.224.120.001,Instream Remote Detection System,46.137022,-115.981313
SC2,Lower SF Clearwater R at rkm 2,TRUE,TRUE,2011,2024,2011-09-19T00:00:00,2024-01-01T00:00:00,2024-05-06T04:32:27,Year Round,BIOMRK,522.224.120.002,Instream Remote Detection System,46.127209,-115.97776
SC3,South Fork Clearwater Site 3,TRUE,TRUE,2021,2024,2021-08-26T00:00:00,2024-01-01T00:00:00,2024-05-06T02:06:43,Year Round,NPT,522.224.120.060,Instream Remote Detection System,45.814145,-115.815972
SC4,South Fork Clearwater Site 4,TRUE,TRUE,2021,2024,2021-08-23T00:00:00,2024-01-01T00:00:00,2024-05-06T01:44:27,Year Round,NPT,522.224.120.081,Instream Remote Detection System,45.8235,-115.6341
SFG,SF Salmon at Guard Station Br.,TRUE,TRUE,2009,2024,2009-09-29T12:00:00,2024-01-01T00:00:00,2024-05-06T02:02:36,Year Round,BIOMRK,522.303.215.030,Instream Remote Detection System,45.175659,-115.579712
SW1,Lower Selway River Array,TRUE,TRUE,2016,2024,2016-12-19T00:00:00,2024-01-01T00:00:00,2024-05-06T04:44:23,Year Round,NPT,522.224.120.037.005,Instream Remote Detection System,46.110318,-115.565886
SW2,Upper Selway River Array,TRUE,TRUE,2017,2024,2017-09-11T00:00:00,2024-01-01T00:00:00,2024-05-06T03:57:53,Year Round,NPT,522.224.120.037.013,Instream Remote Detection System,46.085934,-115.515533
SWT,Sweetwater Cr. near its mouth,FALSE,FALSE,2009,2022,2009-04-03T00:00:00,2022-07-20T00:00:00,2022-06-08T08:19:30,Year Round,NPT,522.224.019.010.001,Instream Remote Detection System,46.369217,-116.795757
TAY,Big Creek at Taylor Ranch,TRUE,TRUE,2006,2024,2006-07-01T00:00:00,2024-01-01T00:00:00,2024-05-05T18:25:57,Year Round,BIOMRK,522.303.319.029.011,Instream Remote Detection System,45.103532,-114.853817
TFH,Tucannon Fish Hatchery,TRUE,TRUE,2012,2024,2012-02-04T00:00:00,2024-01-01T00:00:00,2024-05-06T01:04:08,Year Round,WDFW,522.100.059,Instream Remote Detection System,46.309627,-117.657161
UGR,Upper Grande Ronde at rkm 155,TRUE,TRUE,2012,2024,2012-10-18T00:00:00,2024-01-01T00:00:00,2024-05-06T02:17:25,Year Round,BIOMRK,522.271.155,Instream Remote Detection System,45.59352,-117.903379
USE,Upper Salmon River at rkm 437,TRUE,NA,2012,2024,2012-09-12T00:00:00,2024-01-01T00:00:00,2024-05-06T02:59:29,Year Round,BIOMRK,522.303.437,Instream Remote Detection System,45.02853,-113.916319
USI,Upper Salmon River at rkm 460,TRUE,FALSE,2012,2024,2012-08-30T00:00:00,2022-11-06T00:00:00,2022-11-22T20:06:00,Year Round,BIOMRK,522.303.460,Instream Remote Detection System,44.889763,-113.964145
UTR,Upper Tucannon River,TRUE,TRUE,2011,2024,2011-10-19T00:00:00,2024-01-01T00:00:00,2024-05-06T03:36:16,Year Round,WDFW,522.100.053,Instream Remote Detection System,46.415922,-117.738342
VC1,"Valley Creek, Upstream Site",FALSE,FALSE,2002,2021,2002-07-11T16:00:00,2021-02-16T13:00:00,2021-02-15T22:27:00,Year Round,BIOMRK,522.303.609.002,Instream Remote Detection System,44.218672,-114.94215
VC2,"Valley Creek, Downstream Site",TRUE,NA,2002,2024,2002-07-22T13:00:00,2024-01-01T00:00:00,2024-05-06T03:48:26,Year Round,BIOMRK,522.303.609.001,Instream Remote Detection System,44.2219,-114.93146
WPC,"Wimpey Creek, Lemhi R. Basin",FALSE,NA,2013,2018,2013-10-09T18:00:00,2018-04-25T18:00:00,NA,Year Round,BIOMRK,522.303.416.020.001,Instream Remote Detection System,45.097938,-113.720497
WR1,Wallowa River at river km 14,TRUE,TRUE,2013,2024,2014-01-01T00:00:00,2024-01-01T00:00:00,2024-05-06T02:23:46,Year Round,NPT,522.271.131.014,Instream Remote Detection System,45.633679,-117.733757
YFK,Yankee Fork Salmon River,TRUE,NA,2012,2024,2012-03-29T00:00:00,2024-01-01T00:00:00,2024-05-06T01:44:26,Year Round,SHOBAN,522.303.591.003,Instream Remote Detection System,44.287737,-114.720453
YPP,Yellow Pine Pit Lake,TRUE,NA,2017,2024,2018-05-22T00:00:00,2023-12-02T00:00:00,2024-02-02T04:17:32,Year Round,MGS,522.303.215.060.042,Instream Remote Detection System,44.928995,-115.333883
ZEN,Secesh River at Zena Cr. Ranch,TRUE,TRUE,2009,2024,2009-03-12T12:00:00,2024-01-01T00:00:00,2024-05-06T03:36:04,Year Round,BIOMRK,522.303.215.059.003,Instream Remote Detection System,45.0333,-115.73302
